Nested Sampling Global Log-Evidence           :   -0.931393885604512519E+02  +/-    0.157104031624403312E+00
Nested Importance Sampling Global Log-Evidence:   -0.936446392309081688E+02  +/-    0.156946827049812727E-01

Dim No.       Mean        Sigma
   1    0.220445518674489477E+03    0.172148213082922330E+00
   2    0.228058663629287707E+03    0.992691443280339647E-01
   3    0.363346933391228744E+01    0.122477553756287771E+00
   4    0.114196259996378346E+01    0.379280927281283181E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.220406798908655020E+03
   2    0.228046315392894570E+03
   3    0.365719102002633178E+01
   4    0.114433626347916562E+01

MAP Parameters
Dim No.        Parameter
   1    0.220406798908655020E+03
   2    0.228046315392894570E+03
   3    0.365719102002633178E+01
   4    0.114433626347916562E+01
