Nested Sampling Global Log-Evidence           :   -0.705442574406168660E+03  +/-    0.105935759036949767E+00
Nested Importance Sampling Global Log-Evidence:   -0.705246872083372182E+03  +/-    0.744985045050616801E-01

Dim No.       Mean        Sigma
   1    0.215564167255650091E+03    0.113554194787486895E+01
   2    0.221568473948610148E+03    0.113638174546573811E+01
   3    0.894016437152078902E+00    0.388202899633469239E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.215492110275291793E+03
   2    0.222568317461055813E+03
   3    0.895763411911537411E+00

MAP Parameters
Dim No.        Parameter
   1    0.215294004668688046E+03
   2    0.222455885020007486E+03
   3    0.852558834216102568E+00
