Nested Sampling Global Log-Evidence           :   -0.362502014023907805E+03  +/-    0.137028026738740177E+00
Nested Importance Sampling Global Log-Evidence:   -0.362293443929538455E+03  +/-    0.172158910572955792E+00

Dim No.       Mean        Sigma
   1    0.220373243969275137E+03    0.470594415416249801E+00
   2    0.227818597825342266E+03    0.401922555429307771E+00
   3    0.302996529136942705E+01    0.563389208999972690E+00
   4   -0.297925932809985361E+00    0.760741917052407124E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.220367379777165581E+03
   2    0.227785673729057748E+03
   3    0.337783993704257446E+01
   4   -0.297908642137062252E+00

MAP Parameters
Dim No.        Parameter
   1    0.220367379777165581E+03
   2    0.227785673729057748E+03
   3    0.337783993704257446E+01
   4   -0.297908642137062252E+00
