Nested Sampling Global Log-Evidence           :    0.849970240287378829E+02  +/-    0.106215038114452417E+00
Nested Importance Sampling Global Log-Evidence:    0.852036110460124547E+02  +/-    0.904714219880439069E-01

Dim No.       Mean        Sigma
   1    0.215743036824368943E+03    0.283968949780879321E+01
   2    0.221560026593751644E+03    0.283495582034654303E+01
   3    0.101308849738266193E+01    0.357548904319948471E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.212022571495271450E+03
   2    0.224065834561017596E+03
   3    0.101505096942664341E+01

MAP Parameters
Dim No.        Parameter
   1    0.219177420005919544E+03
   2    0.220513010141977759E+03
   3    0.104636482049235280E+01
