method,sep,seperr,PA,Paerr
Centroid/VisAO,75.9,35.31,109.57,34.25
NPI/VisAO,72.69,23.61,110.19,8
BKA/VisAO,68.79985663,1.791072198,109.7753067,1.616945771
NPI/VLT-IFS,69,2,110.2,0.5
,,,,
,,,,
,,,,
,,,,
