Nested Sampling Global Log-Evidence           :   -0.882249554549093432E+03  +/-    0.103159015562114625E+00
Nested Importance Sampling Global Log-Evidence:   -0.881904993144835203E+03  +/-    0.978088984122408162E-01

Dim No.       Mean        Sigma
   1    0.215560364333629337E+03    0.113879771357656656E+01
   2    0.221655233270013952E+03    0.114932154110941909E+01
   3    0.702434889271169732E-01    0.462738638072848554E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.217488474039393878E+03
   2    0.222128146162498609E+03
   3    0.740566912899511820E-01

MAP Parameters
Dim No.        Parameter
   1    0.214456466578969611E+03
   2    0.219711640158075227E+03
   3    0.278321859362034019E-01
