,yr,DmagHa,DmagCont
0,2013.2739726027398,0.0030476142394286966,0.0012359204742136024
1,2014.2657534246575,0.002307360490057132,0.0013023172171176328
3,2015.3671232876711,0.0017745084218717204,0.001087442718428212
4,2015.3698630136987,0.0020250882898453504,0.0011099235053957184
5,2015.3753424657534,0.0014342013631175792,0.0012468994631977335
7,2018.317808219178,0.0017898543796027247,0.00119095890027859
