,Date [yr],M_b [Msun],R_b_largeR [Rsun],R_b_smallR [Rsun],Av,L_ha [L/Lsun],mdot_largeR [Msun/yr],mdot_smallR [Msun/yr]
0,2013.27397260274,0.26,1.2,0.15,0.6,0.00021248193691009688,8.777094756588667e-10,1.0971368445735834e-10
1,2014.2657534246573,0.26,1.2,0.15,0.6,0.00015644316511865346,5.986100565420096e-10,7.48262570677512e-11
2,2015.3671232876711,0.26,1.2,0.15,0.6,0.00011378547704527504,4.020747582910609e-10,5.025934478638261e-11
3,2015.3698630136987,0.26,1.2,0.15,0.6,0.00012831820453498483,4.672600047044846e-10,5.840750058806057e-11
4,2015.3753424657532,0.26,1.2,0.15,0.6,0.00013639610791727492,5.043136678942731e-10,6.303920848678414e-11
5,2018.317808219178,0.26,1.2,0.15,0.6,0.00010970571500728619,3.8413584242800563e-10,4.8016980303500704e-11
