#VisAO H-alfa, April 2014 and later
#Digitized by Ya-lin Wu
#Filter by Custom Scientific, Log 276001
#    lamda(microns)   trans(normalized)
     0.655800     0.999111
     0.655830     0.999303
     0.655860     0.999496
     0.655890     0.999688
     0.655920     0.999880
     0.655950      1.00000
     0.655980     0.999999
     0.656010     0.999998
     0.656040     0.999997
     0.656070     0.999996
     0.656100     0.999995
     0.656130     0.999994
     0.656160     0.999979
     0.656190     0.999951
     0.656220     0.999922
     0.656250     0.999894
     0.656280     0.999865
     0.656310     0.999837
     0.656340     0.999808
     0.656370     0.999714
     0.656400     0.999582
     0.656430     0.999450
     0.656460     0.999318
     0.656490     0.999186
     0.656520     0.999055
     0.656550     0.998923
     0.656580     0.998760
     0.656610     0.998586
     0.656640     0.998414
     0.656670     0.998241
     0.656700     0.998068
     0.656730     0.997896
     0.656760     0.997723
     0.656790     0.997404
     0.656820     0.997067
     0.656850     0.996729
     0.656880     0.996391
     0.656910     0.996054
     0.656940     0.995717
     0.656970     0.995083
     0.657000     0.994218
     0.657030     0.993354
     0.657060     0.992490
     0.657090     0.991626
     0.657120     0.990761
     0.657150     0.989898
     0.657180     0.989004
     0.657210     0.987565
     0.657240     0.986126
     0.657270     0.984687
     0.657300     0.983247
     0.657330     0.981808
     0.657360     0.980140
     0.657390     0.977721
     0.657420     0.975303
     0.657450     0.972883
     0.657480     0.970421
     0.657510     0.967632
     0.657540     0.964842
     0.657570     0.962052
     0.657600     0.958536
     0.657630     0.954476
     0.657660     0.950414
     0.657690     0.946434
     0.657720     0.942512
     0.657750     0.938591
     0.657780     0.934541
     0.657810     0.929925
     0.657840     0.917200
     0.657870     0.905522
     0.657900     0.899145
     0.657930     0.893282
     0.657960     0.887841
     0.657990     0.881998
     0.658020     0.875781
     0.658050     0.868353
     0.658080     0.859549
     0.658110     0.848266
     0.658140     0.838667
     0.658170     0.828993
     0.658200     0.818887
     0.658230     0.808253
     0.658260     0.806171
     0.658290     0.798058
     0.658320     0.775978
     0.658350     0.768025
     0.658380     0.751968
     0.658410     0.751289
     0.658440     0.734462
     0.658470     0.725728
     0.658500     0.709580
     0.658530     0.712692
     0.658560     0.683226
     0.658590     0.664683
     0.658620     0.647968
     0.658650     0.627493
     0.658680     0.627815
     0.658710     0.614637
     0.658740     0.593709
     0.658770     0.586906
     0.658800     0.565433
     0.658830     0.541677
     0.658860     0.536911
     0.658890     0.517745
     0.658920     0.497813
     0.658950     0.489708
     0.658980     0.474242
     0.659010     0.453493
     0.659040     0.438213
     0.659070     0.441183
     0.659100     0.419039
     0.659130     0.402709
     0.659160     0.382145
     0.659190     0.387404
     0.659220     0.372532
     0.659250     0.351960
     0.659280     0.333579
     0.659310     0.320257
     0.659340     0.312927
     0.659370     0.296259
     0.659400     0.284405
     0.659430     0.276300
     0.659460     0.269658
     0.659490     0.249753
     0.659520     0.238995
     0.659550     0.221818
     0.659580     0.217938
     0.659610     0.214060
     0.659640     0.210180
     0.659670     0.193371
     0.659700     0.179109
     0.659730     0.169013
     0.659760     0.163836
     0.659790     0.160504
     0.659820     0.155936
     0.659850     0.144399
     0.659880     0.138174
     0.659910     0.130909
     0.659940     0.122719
     0.659970     0.113982
     0.660000     0.105184
     0.660030     0.100971
     0.660060    0.0985542
     0.660090    0.0961371
     0.660120    0.0937201
