    0.220744381531728664E+03    0.216009570313952850E+03    0.119580844109493256E+01    0.996612939740600865E+02
    0.217404952737742178E+03    0.216386989104058244E+03    0.120778373878414502E+01    0.100631680166342420E+03
    0.214828427211366488E+03    0.220576159861941392E+03    0.121488263518667505E+01    0.101172196369838289E+03
    0.220441926945009556E+03    0.214622101279323033E+03    0.142848854620764065E+01    0.101689112890863100E+03
    0.219160163776802818E+03    0.221460483129043610E+03    0.142650400925874887E+01    0.101860792833015921E+03
    0.218447492981818129E+03    0.218609036411778135E+03    0.122593933482906348E+01    0.101960852798553574E+03
    0.215407694578646698E+03    0.218897544093227310E+03    0.123042626687518020E+01    0.102261948184145581E+03
    0.217362983401737779E+03    0.220177127207576831E+03    0.142006133487194663E+01    0.102390224004337995E+03
    0.220287242296643427E+03    0.222878493466578618E+03    0.123384420221511348E+01    0.102483814211505319E+03
    0.216714718591144276E+03    0.219429968170609612E+03    0.141724323511479966E+01    0.102608538800120328E+03
    0.218484446173664139E+03    0.213847055138475326E+03    0.141704078564014946E+01    0.102623914534026426E+03
    0.215149785297640875E+03    0.214751808873961181E+03    0.123797389365451682E+01    0.102743122185584696E+03
    0.212054134650392513E+03    0.215017294901204167E+03    0.141536099641618751E+01    0.102749908333076775E+03
    0.214047049486145710E+03    0.219758928567839092E+03    0.123811548744995292E+01    0.102751841625911027E+03
    0.217680981161847967E+03    0.223258726755109450E+03    0.123855371736501851E+01    0.102778755737920818E+03
    0.215847812127117123E+03    0.223600472055089540E+03    0.124011124916157556E+01    0.102873524850246511E+03
    0.219658393213770523E+03    0.218931392435092135E+03    0.141270262790691437E+01    0.102943551771286423E+03
    0.214968640181685743E+03    0.213762889490005080E+03    0.141265669433149554E+01    0.102946836060619034E+03
    0.216539650495063569E+03    0.217154717532238180E+03    0.124183687181016822E+01    0.102976897479827812E+03
    0.212606233371745503E+03    0.216289376633852584E+03    0.141180709826212514E+01    0.103007206681532438E+03
    0.214197619019664472E+03    0.216210334080455993E+03    0.124428137836803732E+01    0.103120394088181143E+03
    0.217736901434076856E+03    0.219609675761493293E+03    0.140964031016759783E+01    0.103157952763034558E+03
    0.216732225137859814E+03    0.219901442852202848E+03    0.124510575974108839E+01    0.103168005114035338E+03
    0.216213291339542451E+03    0.221580514746671724E+03    0.140909976861958874E+01    0.103194840201618916E+03
    0.218032226969599691E+03    0.217134607010937657E+03    0.140826601015514985E+01    0.103251176573104146E+03
    0.218750716894019803E+03    0.213825465565800528E+03    0.124694704453276284E+01    0.103272914653313393E+03
    0.214646352945827175E+03    0.216561420254472779E+03    0.140694429307916291E+01    0.103339093772137829E+03
    0.219755668468694466E+03    0.219305438679484382E+03    0.124840677073325956E+01    0.103354672910038531E+03
    0.219766850948170145E+03    0.222313352776793607E+03    0.124954976526696360E+01    0.103417815615293691E+03
    0.211527960035565712E+03    0.219429730396047916E+03    0.124959322683084295E+01    0.103420201351133159E+03
    0.217414278537013189E+03    0.216918929847730141E+03    0.124998517252632091E+01    0.103441665967465966E+03
    0.218964150915508753E+03    0.219703892370843960E+03    0.140531066599543486E+01    0.103445411837598527E+03
    0.219779393842904113E+03    0.223601831495975460E+03    0.140526077532650984E+01    0.103448618074708435E+03
    0.220225548766352773E+03    0.214719006992337171E+03    0.125023534578750528E+01    0.103455318986668630E+03
    0.212692489534706311E+03    0.215862379181557486E+03    0.140451528955768801E+01    0.103496240335959527E+03
    0.218095460089155210E+03    0.219390515546494868E+03    0.140414806787345547E+01    0.103519501515824828E+03
    0.211736616104521801E+03    0.215551474946645072E+03    0.125203492358421720E+01    0.103552435216705845E+03
    0.211706872988661502E+03    0.217831559599840290E+03    0.125250238014698656E+01    0.103577346765939254E+03
    0.211510994013417701E+03    0.217847167444831655E+03    0.140305587015814659E+01    0.103587917639238981E+03
    0.212420799082388697E+03    0.214857603328218971E+03    0.140298810206435576E+01    0.103592124884677332E+03
    0.217885374043650643E+03    0.221067732517382638E+03    0.140265870524053682E+01    0.103612512008201378E+03
    0.211480312063666929E+03    0.222570090260182923E+03    0.140237113438043082E+01    0.103630225300354624E+03
