epoch,object,sep,sep_err,pa,pa_err
52263.0,1.0,115.69,0.4,209.32,0.2
53281.0,1.0,116.97,0.77,212.17,0.38
53417.0,1.0,116.34,0.45,212.7,0.22
53426.0,1.0,116.93,0.3,212.94,0.15
55598.0,1.0,114.97,0.89,219.47,0.44
55598.0,1.0,116.03,0.71,219.35,0.35
56903.0,1.0,115.12,0.14,223.9,0.07
56997.0,1.0,115.41,0.28,223.99,0.14
57322.0,1.0,115.07,0.23,224.93,0.0
57405.0,1.0,115.52,0.2,225.08,0.1
57422.0,1.0,114.88,0.16,225.14,0.08
57439.0,1.0,115.17,0.19,225.13,0.09
57620.0,1.0,115.52,0.44,226.23,0.22
58162.0,1.0,115.31,0.18,227.59,0.08
58790.0,1.0,,,,
58852.0,1.0,,,,
