Date,med sep,med seperr,med PA,med PAerr,stdev sep,stdev PA,,,,,,,,,,,,,,,,
2013-04-06,14.75,0.11,222.71,1.12,0.11,0.39,,,,,,,,,,,,,,,,
2013-04-07,14.55,0.09,222.51,0.74,0.10,0.18,,,,,,,,,,,,,,,,
2014-11-29,14.90,0.05,224.44,1.47,0.28,3.31,,,,,,,,,,,,,,,,
2015-12-11,15.06,0.12,226.54,1.84,0.46,1.79,,,,,,,,,,,,,,,,
2016-11-17,14.61,0.18,226.60,1.49,0.04,0.02,,,,,,,,,,,,,,,,
2017-02-04,14.50,0.01,226.68,0.35,0.05,0.17,,,,,,,,,,,,,,,,
2017-02-06,14.43,0.01,226.84,0.37,0.04,0.05,,,,,,,,,,,,,,,,
2017-02-14,14.54,0.06,226.95,0.86,0.06,0.32,,,,,,,,,,,,,,,,
2018-04-26,14.50,0.10,228.29,0.86,0.13,0.06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,individual highpass measurements,,,,,,,,,,,,,,,
individual measurements,,,,,,,sep,seperr,sep weight,PA,PAerr,PA weight,date,filter,,,,,,,,
,,,,,,,14.61738837,0.2985094775,11.22234851,46.41840173,2.495674063,0.1605551605,2016-11-17T07:31:55,zprime,,,,,,,,
,,,,,,,14.52099192,0.008729039936,13124.0247,226.8069559,0.5257527204,3.617736595,2017-02-05T00:40:23,Ys,,,,,,,,
,,,,,,,14.44703049,0.01348773212,5496.954424,226.5730621,0.4794575519,4.350104329,2017-02-05T00:29:18,zprime,,,,,,,,
,,,,,,,14.45740062,0.278024993,12.93696261,226.8702221,2.311055176,0.187231696,2017-02-07T01:07:02,iprime,,,,,,,,
,,,,,,,14.45790309,0.2803318875,12.72491816,226.9073424,2.293412236,0.1901234776,2017-02-07T01:07:02,iprime,,,,,,,,
,,,,,,,14.4475107,0.2666981518,14.0591799,226.9222494,2.176265969,0.2111426938,2017-02-07T01:09:54,iprime,,,,,,,,
,,,,,,,14.46288842,0.2739603176,13.32369486,226.892108,2.231993991,0.2007307734,2017-02-07T01:09:54,iprime,,,,,,,,
,,,,,,,14.4325972,0.01467014722,4646.554714,226.8365907,0.4083875146,5.995909754,2017-02-07T00:38:32,zprime,,,,,,,,
,,,,,,,14.54028255,0.2669949884,14.02793617,226.8776348,2.162109037,0.2139167619,2017-02-07T00:38:32,zprime,,,,,,,,
,,,,,,,14.51233412,0.2568339669,15.15985616,226.7830073,2.085786564,0.2298583416,2017-02-07T00:38:32,zprime,,,,,,,,
,,,,,,,14.39772877,0.2278598624,19.26035725,227.3795592,2.200717214,0.2064769228,2017-02-15T00:50:10,iprime,,,,,,,,
,,,,,,,14.494008,0.2299230402,18.91624862,227.2904611,2.190649659,0.2083790931,2017-02-15T00:50:10,iprime,,,,,,,,
,,,,,,,14.49154869,0.225006882,19.75187811,226.6779551,2.081403997,0.2308273318,2017-02-15T00:50:10,iprime,,,,,,,,
,,,,,,,14.46137366,0.2493395687,16.08487137,226.7988575,2.401854555,0.1733431123,2017-02-15T00:50:10,iprime,,,,,,,,
,,,,,,,14.56863625,0.0674592208,219.7441686,226.8153436,1.388928364,0.5183705334,2017-02-15T00:53:21,zprime,,,,,,,,
,,,,,,,14.63172104,0.4042655357,6.118804295,48.08927813,3.538491085,0.07986634108,2018-04-26T23:13:40,rprime,,,,,,,,
,,,,,,,14.41688614,0.3212321413,9.690853199,48.09433793,2.846209577,0.1234429378,2018-04-26T23:13:40,rprime,,,,,,,,
,,,,,,,14.2946904,0.2974777834,11.3003248,48.36210831,2.609127174,0.1468958424,2018-04-26T23:13:40,rprime,,,,,,,,
,,,,,,,14.3352806,0.3217932692,9.657085758,48.32278104,2.816980091,0.12601796,2018-04-26T23:13:40,rprime,,,,,,,,
,,,,,,,14.52929513,0.2385650601,17.57058917,48.35240691,2.084213102,0.2302055325,2018-04-26T23:02:15,zprime,,,,,,,,
,,,,,,,14.55682204,0.2471705374,16.36841383,48.31971724,2.146810094,0.2169765217,2018-04-26T23:02:15,zprime,,,,,,,,
,,,,,,,14.55286364,0.2468763126,16.40745252,48.35607559,2.135813756,0.219216501,2018-04-26T23:02:15,zprime,,,,,,,,
,,,,,,,14.60973272,0.2590037298,14.90692147,48.25642413,2.245437057,0.1983344831,2018-04-26T23:02:15,zprime,,,,,,,,
