epoch,object,sep,sep_err,pa,pa_err
56388.0,1.0,14.75,0.11,222.71,1.12
56389.0,1.0,14.55,0.09,222.51,0.74
56990.0,1.0,14.9,0.05,224.44,1.47
57367.0,1.0,15.06,0.12,226.54,1.84
57709.0,1.0,14.61,0.18,226.6,1.49
57788.0,1.0,14.5,0.01,226.68,0.35
57790.0,1.0,14.43,0.01,226.84,0.37
57798.0,1.0,14.54,0.06,226.95,0.86
58234.0,1.0,14.5,0.1,228.29,0.86
